action0,action1,action2,action3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-6.901464,-4.548719,-12.79375,-13.80477
0,0,0,0
0,0,0,0
0,0,0,0
-0.9983616,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
24.52825,0,0,0
1.806734,15.04972,0,5.96934
-0.9983616,14.41577,24.40616,-8.590949
2.66435,3.735553,13.29722,-3.363388
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-13.24561,-12.63539,-17.17568,-17.82877
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-2.833821,-4.980384,-11.18052,-14.14472
0,0,0,0
0,0,0,0
0,0,0,0
36.32068,-6.698094,-12.43799,-15.14016
0,0,0,0
0,0,0,0
0,0,0,0
-8.742001,-6.026743,-10.46904,-5.99482
-9.95904,-14.72128,0,0
-15.16603,-9.07374,-6.690022,-4.771561
-9.95904,-9.95904,-0.9744,0
-9.8388,-7.298737,-5.995027,-5.96056
-9.95904,-0.9744,-0.84,0
-13.45442,-7.015433,-6.66786,-2.422505
-10.90278,-0.98976,-0.98976,-4.147723
-12.768,-7.335347,-7.085031,13.83769
-9.743999,-9.8976,-4.408916,3.713614
-1.047421,4.559292,12.14394,16.38605
22.9259,-4.595233,1.335858,-9.085824
18.83966,-1.508697,-1.666526,-8.947577
-5.462511,19.93645,0,12.97632
0,0,0,0
0,0,0,0
0.7310982,-7.233268,-2.553827,1.511518
0,0,0,0
0,0,0,0
0,0,0,0
-0.9983616,-0.995904,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-4.383693,-3.736443,-12.01863,-11.54349
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-6.213752,-4.524418,-12.14945,-11.8769
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
